village,state,date,water_source_id,water_source_type,latitude,longitude,pH,turbidity_ntu,bacteria_ecoli_cfu_100ml,bacteria_coliform_cfu_100ml,dissolved_oxygen_mg_l,nitrates_mg_l,phosphates_mg_l,heavy_metals_mg_l,chlorine_residual_mg_l,fluoride_mg_l,arsenic_mg_l,test_method,testing_agency,is_potable,contamination_level,depth_meters
Agartala Rural,Tripura,2023-03-28,WS_96033,Piped Supply,28.563249,94.349105,7.4,6.438,4.27,79.0,6.1,22.9,1.02,0.039,0.87,0.18,0.042,IoT Sensor,Agency_4,0,Safe,
Shillong Rural,Meghalaya,2023-10-01,WS_37024,Spring,24.323058,91.010973,5.3,53.528,307.506,2144.0,2.3,76.0,22.67,0.66,0.3,1.01,0.019,Water Testing Kit,Agency_7,0,High,
Shillong Rural,Meghalaya,2023-06-08,WS_84959,Tube Well,26.144386,95.360865,7.94,4.252,5.853,82.0,6.7,16.2,0.69,0.027,1.29,1.27,0.038,Lab Analysis,Agency_5,1,Safe,175.0
Serchhip Village,Mizoram,2023-11-06,WS_82577,Well,28.624732,89.42389,5.83,41.143,2064.566,3273.0,2.5,50.1,22.17,0.98,0.14,0.18,0.037,Water Testing Kit,Agency_6,0,High,125.0
Tuensang Village,Nagaland,2023-02-27,WS_72808,Piped Supply,28.51295,95.446499,7.49,7.305,47.662,79.0,8.0,9.7,2.25,0.007,1.37,0.14,0.041,Water Testing Kit,Agency_3,0,Safe,
Rangpo Rural,Sikkim,2023-07-13,WS_56898,Piped Supply,24.463931,94.08228,6.53,4.831,63.098,16.0,5.7,21.2,2.61,0.028,1.71,1.17,0.036,Water Testing Kit,Agency_1,1,Safe,
Gangtok Rural,Sikkim,2023-11-23,WS_27740,River,27.556954,93.548805,6.94,2.22,24.918,13.0,6.4,41.1,1.72,0.002,0.06,0.57,0.016,Water Testing Kit,Agency_1,1,Safe,
Gyalshing Rural,Sikkim,2023-10-20,WS_88853,Piped Supply,28.175031,90.446369,5.76,66.609,2772.48,4903.0,3.4,116.0,14.25,1.91,1.87,0.36,0.037,Water Testing Kit,Agency_9,0,High,
Mokokchung Rural,Nagaland,2023-04-19,WS_65371,Well,28.333831,88.48485,5.3,114.42,1168.98,4323.0,2.1,56.4,18.91,0.17,1.14,0.76,0.039,Water Testing Kit,Agency_3,0,High,147.0
Jowai Rural,Meghalaya,2024-02-17,WS_90477,Well,28.128007,93.284486,5.31,88.651,549.69,2201.0,1.3,143.2,13.61,1.62,1.32,0.53,0.047,Lab Analysis,Agency_1,0,High,13.0
Tawang Rural,Arunachal Pradesh,2023-01-21,WS_22241,Piped Supply,23.922389,89.730746,8.08,2.9,19.194,35.0,5.2,2.8,1.43,0.044,1.85,1.21,0.016,Lab Analysis,Agency_9,1,Safe,
Baghmara Rural,Meghalaya,2023-05-08,WS_68062,Tube Well,26.521085,91.275866,6.2,25.388,2658.394,4350.0,2.6,166.7,6.5,0.36,1.39,0.37,0.009,IoT Sensor,Agency_8,0,High,23.0
Tawang Rural,Arunachal Pradesh,2023-10-20,WS_71086,Well,23.85085,91.602838,8.04,1.489,54.021,8.0,7.7,7.7,2.42,0.029,0.58,1.49,0.019,Water Testing Kit,Agency_3,1,Safe,32.0
Ziro Village,Arunachal Pradesh,2023-07-14,WS_40042,Well,25.867366,92.968355,6.03,41.054,251.528,1573.0,3.5,120.6,17.31,1.62,1.83,0.05,0.049,IoT Sensor,Agency_8,0,High,39.0
Guwahati Rural,Assam,2023-07-20,WS_79509,Piped Supply,28.691345,90.208166,6.96,7.523,12.54,45.0,5.3,15.3,2.33,0.002,0.35,0.31,0.012,IoT Sensor,Agency_5,0,Safe,
Williamnagar Village,Meghalaya,2023-09-22,WS_49689,River,23.112379,94.603222,5.89,76.184,1485.675,2733.0,2.4,186.6,10.36,0.92,1.66,0.49,0.05,IoT Sensor,Agency_9,0,High,
Namchi Village,Sikkim,2023-02-27,WS_47848,Tube Well,23.225854,89.33175,7.44,3.8,57.266,83.0,5.0,5.4,1.54,0.006,0.63,1.27,0.044,IoT Sensor,Agency_3,1,Safe,127.0
Roing Village,Arunachal Pradesh,2023-07-24,WS_67370,Piped Supply,23.557207,96.154316,6.67,0.367,70.223,2.0,7.5,20.4,2.33,0.004,1.55,0.8,0.022,Water Testing Kit,Agency_3,1,Safe,
Mokokchung Rural,Nagaland,2023-06-25,WS_65371,Well,28.333831,88.48485,5.3,118.924,1199.928,4323.0,2.1,56.4,18.91,0.17,1.14,0.76,0.039,Water Testing Kit,Agency_3,0,High,147.0
Kolasib Rural,Mizoram,2023-11-20,WS_38378,Well,25.341343,95.091897,7.37,2.521,57.73,14.0,7.4,27.8,0.11,0.03,1.97,1.14,0.039,Water Testing Kit,Agency_1,1,Safe,147.0
Senapati Rural,Manipur,2023-10-04,WS_83741,Well,24.594924,93.277132,7.24,6.222,16.946,18.0,6.4,28.8,1.73,0.034,0.57,0.84,0.041,Lab Analysis,Agency_9,0,Safe,129.0
Roing Village,Arunachal Pradesh,2023-06-28,WS_36542,Pond,23.354178,94.626273,7.1,6.229,37.25,49.0,5.5,37.6,1.7,0.027,1.01,1.17,0.043,Lab Analysis,Agency_7,0,Safe,
Khowai Village,Tripura,2024-01-14,WS_77652,Spring,24.773152,94.168573,7.64,6.068,44.125,97.0,7.2,34.0,0.58,0.008,0.2,0.4,0.008,Water Testing Kit,Agency_4,0,Safe,
Churachandpur Village,Manipur,2023-07-20,WS_51020,Piped Supply,27.23787,89.137521,7.0,7.203,61.974,12.0,6.8,38.3,1.11,0.013,1.11,0.57,0.05,Water Testing Kit,Agency_4,0,Safe,
Kolasib Rural,Mizoram,2023-10-16,WS_90037,Tube Well,25.842628,90.997973,5.59,83.453,1223.137,2492.0,3.4,199.9,14.34,0.82,0.93,1.42,0.014,Water Testing Kit,Agency_5,0,High,10.0
Wokha Rural,Nagaland,2024-04-08,WS_40660,Tube Well,27.341316,92.022693,5.66,22.999,1211.774,3979.0,1.9,85.0,10.03,1.6,1.29,0.96,0.007,Lab Analysis,Agency_8,0,High,27.0
Saitual Rural,Mizoram,2023-07-14,WS_58570,Well,26.421909,95.279153,6.44,1.609,60.754,56.0,6.2,43.3,2.12,0.027,1.0,0.63,0.017,IoT Sensor,Agency_4,1,Safe,17.0
Williamnagar Village,Meghalaya,2023-07-05,WS_97851,Tube Well,23.027473,89.655614,7.5,2.432,16.249,32.0,9.0,16.2,1.57,0.014,1.26,0.35,0.041,IoT Sensor,Agency_5,1,Safe,182.0
Belonia Rural,Tripura,2023-08-03,WS_32323,Pond,23.962273,94.506741,5.3,26.604,502.376,903.0,1.7,180.6,10.9,0.62,1.94,1.12,0.043,IoT Sensor,Agency_8,0,High,
Kolasib Rural,Mizoram,2023-07-09,WS_69735,Tube Well,27.27147,89.427977,7.69,8.77,66.836,71.0,5.2,13.1,1.01,0.05,1.92,0.74,0.038,Water Testing Kit,Agency_6,0,Safe,26.0
Mangan Village,Sikkim,2023-05-04,WS_49847,Piped Supply,27.622192,89.770389,8.12,1.974,12.901,64.0,6.7,1.2,2.76,0.004,1.64,1.41,0.05,IoT Sensor,Agency_1,1,Safe,
Barpeta Village,Assam,2023-05-30,WS_64907,River,28.579587,91.049482,8.5,1.592,23.687,26.0,7.0,17.2,1.08,0.027,1.94,0.0,0.032,Water Testing Kit,Agency_6,1,Safe,
Teliamura Rural,Tripura,2023-06-03,WS_97410,River,28.818233,88.278049,6.72,3.363,55.654,88.0,7.9,21.0,1.95,0.023,0.77,0.46,0.047,Lab Analysis,Agency_1,1,Safe,
Kiphire Village,Nagaland,2023-08-26,WS_94645,Piped Supply,27.760903,96.797664,7.53,4.463,30.851,37.0,5.3,34.9,1.4,0.041,1.45,0.37,0.045,Lab Analysis,Agency_4,1,Safe,
Lawngtlai Village,Mizoram,2023-09-11,WS_76364,Well,23.233801,88.280328,6.83,9.417,33.403,53.0,7.4,13.8,2.69,0.03,0.62,1.27,0.013,Lab Analysis,Agency_3,0,Safe,176.0
Kohima Rural,Nagaland,2023-10-22,WS_35152,Piped Supply,24.589282,89.276785,7.32,0.229,52.765,38.0,8.5,14.6,2.27,0.003,0.39,1.3,0.014,Lab Analysis,Agency_4,1,Safe,
Pasighat Rural,Arunachal Pradesh,2023-08-18,WS_28714,Pond,23.354478,93.929055,5.3,57.514,2514.243,2666.0,1.6,175.3,10.39,1.63,1.03,1.22,0.049,IoT Sensor,Agency_3,0,High,
Barpeta Village,Assam,2024-02-19,WS_91117,River,24.688868,96.223981,5.9,48.289,2241.225,4389.0,2.5,186.2,24.23,0.17,1.63,1.36,0.009,Lab Analysis,Agency_3,0,High,
Dharmanagar Rural,Tripura,2023-07-25,WS_32154,Well,24.283495,92.982616,5.81,43.716,220.871,1652.0,1.6,99.1,21.29,1.38,0.45,1.39,0.013,IoT Sensor,Agency_9,0,High,198.0
Teliamura Rural,Tripura,2023-09-21,WS_34770,Pond,24.870199,91.93583,6.26,38.578,1499.334,3373.0,2.3,189.8,20.39,0.14,1.08,0.51,0.013,Water Testing Kit,Agency_4,0,High,
Teliamura Rural,Tripura,2023-09-11,WS_39412,River,28.818821,95.616091,5.36,43.898,2362.003,4206.0,1.7,115.2,18.03,0.19,0.1,0.46,0.016,Lab Analysis,Agency_1,0,High,
Tamenglong Rural,Manipur,2024-02-12,WS_34544,Pond,27.720876,95.205028,8.37,2.773,51.535,43.0,6.9,21.6,2.19,0.013,1.55,0.21,0.049,IoT Sensor,Agency_2,1,Safe,
Williamnagar Village,Meghalaya,2023-11-17,WS_33183,River,24.410342,88.330552,6.19,88.92,1798.282,2911.0,2.9,154.8,16.05,1.71,1.97,0.08,0.024,IoT Sensor,Agency_3,0,High,
Tawang Rural,Arunachal Pradesh,2024-02-05,WS_68757,Spring,27.053449,91.628383,7.07,0.23,22.42,41.0,7.0,0.2,2.17,0.033,1.67,1.39,0.031,IoT Sensor,Agency_4,1,Safe,
Pakyong Village,Sikkim,2023-09-13,WS_46795,Tube Well,23.284811,91.168898,7.17,8.485,43.809,52.0,7.9,17.9,2.28,0.01,0.56,0.27,0.043,Lab Analysis,Agency_5,0,Safe,95.0
Namchi Village,Sikkim,2023-08-15,WS_55801,Well,23.791077,93.413585,6.62,7.895,57.992,16.0,8.1,4.4,2.88,0.023,1.52,1.41,0.016,Water Testing Kit,Agency_5,0,Safe,158.0
Kohima Rural,Nagaland,2023-10-15,WS_99983,River,28.422157,90.787894,5.82,39.075,2344.166,4316.0,3.7,146.2,22.28,1.98,0.89,0.86,0.017,Water Testing Kit,Agency_2,0,High,
Serchhip Village,Mizoram,2023-11-11,WS_82577,Well,28.624732,89.42389,5.61,38.275,2083.782,3273.0,2.5,50.1,22.17,0.98,0.14,0.18,0.037,Water Testing Kit,Agency_6,0,High,125.0
Dharmanagar Rural,Tripura,2023-04-05,WS_45869,Pond,26.85324,89.111762,8.2,1.428,8.371,94.0,6.2,29.9,0.11,0.028,0.27,0.1,0.047,IoT Sensor,Agency_8,1,Safe,
Kailashahar Village,Tripura,2023-10-22,WS_76723,Well,27.940268,90.694206,8.09,3.267,23.635,57.0,8.2,32.3,0.09,0.039,1.75,1.46,0.034,Lab Analysis,Agency_9,1,Safe,185.0
Itanagar Rural,Arunachal Pradesh,2023-05-11,WS_43320,River,24.421845,95.910569,6.47,26.602,535.303,4735.0,1.8,86.6,13.51,1.48,0.22,0.11,0.046,IoT Sensor,Agency_2,0,High,
Ukhrul Village,Manipur,2023-04-22,WS_69248,Pond,25.293214,95.82962,7.41,0.438,3.297,24.0,7.5,11.0,2.55,0.031,1.48,0.24,0.019,IoT Sensor,Agency_4,1,Safe,
Rangpo Rural,Sikkim,2023-10-18,WS_28149,River,27.16452,92.509929,6.85,4.552,28.41,41.0,8.7,38.2,2.38,0.014,1.58,0.39,0.044,IoT Sensor,Agency_8,1,Safe,
Rangpo Rural,Sikkim,2023-08-21,WS_88950,Well,23.717149,89.216213,5.3,19.329,446.766,4407.0,1.9,122.0,14.74,1.99,0.06,0.37,0.025,IoT Sensor,Agency_8,0,High,154.0
Churachandpur Village,Manipur,2023-12-19,WS_81741,Pond,25.365601,90.918258,6.25,21.334,2271.56,1111.0,1.4,60.4,13.51,1.22,1.86,1.42,0.025,Lab Analysis,Agency_5,0,High,
Naharlagun Village,Arunachal Pradesh,2023-11-23,WS_51938,Pond,24.519828,96.211555,5.35,75.035,1683.295,318.0,2.8,144.5,17.86,1.29,0.18,0.96,0.028,Lab Analysis,Agency_1,0,High,
Jowai Rural,Meghalaya,2024-02-13,WS_90477,Well,28.128007,93.284486,5.41,101.957,580.221,2201.0,1.3,143.2,13.61,1.62,1.32,0.53,0.047,Lab Analysis,Agency_1,0,High,13.0
Senapati Rural,Manipur,2023-07-11,WS_12527,Piped Supply,25.252775,94.635376,5.3,53.188,2544.587,1461.0,3.8,174.3,7.0,1.01,0.63,1.07,0.016,Water Testing Kit,Agency_9,0,High,
Karimganj Village,Assam,2023-12-08,WS_46440,Tube Well,26.692949,95.44498,5.3,95.465,492.415,1354.0,2.7,68.3,11.73,1.08,0.52,1.18,0.021,Water Testing Kit,Agency_7,0,High,121.0
Mangan Village,Sikkim,2023-03-06,WS_33158,Well,26.647724,93.167765,6.42,6.156,34.068,59.0,7.1,2.6,2.99,0.049,0.75,1.2,0.011,Water Testing Kit,Agency_7,0,Safe,166.0
Gyalshing Rural,Sikkim,2023-04-18,WS_80665,Well,23.19704,93.046529,6.4,90.332,455.054,2870.0,1.8,164.2,21.28,1.06,1.02,0.32,0.027,Water Testing Kit,Agency_1,0,High,148.0
Dimapur Village,Nagaland,2023-11-03,WS_50920,Tube Well,26.352943,90.468691,6.78,47.937,470.04,2032.0,1.0,66.3,14.92,1.89,1.19,0.84,0.034,Water Testing Kit,Agency_6,0,High,162.0
Senapati Rural,Manipur,2023-03-03,WS_91772,River,24.038631,93.643978,8.67,9.814,51.184,92.0,8.2,41.0,0.31,0.048,0.08,0.28,0.032,IoT Sensor,Agency_5,0,Safe,
Teliamura Rural,Tripura,2023-03-23,WS_66566,Piped Supply,24.87565,94.641807,6.6,7.478,52.643,92.0,5.4,33.1,1.67,0.039,1.01,0.93,0.006,IoT Sensor,Agency_9,0,Safe,
Kolasib Rural,Mizoram,2023-07-10,WS_14954,River,28.557036,91.993957,7.89,3.561,23.165,38.0,7.5,2.1,1.25,0.028,1.3,0.03,0.012,Water Testing Kit,Agency_3,1,Safe,
Dibrugarh Rural,Assam,2023-08-12,WS_61851,Well,27.56446,95.910575,6.2,57.599,1149.533,1343.0,1.5,174.3,6.23,1.05,0.39,0.12,0.019,IoT Sensor,Agency_9,0,High,109.0
Singtam Village,Sikkim,2023-09-22,WS_51152,Well,27.86806,92.444235,6.89,3.737,4.416,88.0,7.2,40.8,2.34,0.045,1.82,0.79,0.009,Lab Analysis,Agency_2,1,Safe,100.0
Jorethang Rural,Sikkim,2023-06-14,WS_91603,River,24.76271,94.076212,5.3,107.888,1294.881,243.0,3.1,137.5,8.16,1.45,1.72,1.13,0.031,IoT Sensor,Agency_8,0,High,
Amarpur Village,Tripura,2023-10-17,WS_72564,River,23.773499,94.468929,5.55,89.501,695.827,2660.0,3.2,105.2,13.22,0.41,0.63,1.16,0.02,Water Testing Kit,Agency_5,0,High,
Tamenglong Rural,Manipur,2023-06-02,WS_66963,River,24.962634,90.968434,6.35,119.052,1309.576,3367.0,2.5,76.4,12.52,1.72,1.74,0.09,0.01,Water Testing Kit,Agency_7,0,High,
Naharlagun Village,Arunachal Pradesh,2023-07-09,WS_24811,Tube Well,28.713508,89.210704,7.65,2.434,56.338,68.0,8.0,19.8,2.64,0.019,0.27,0.69,0.046,Water Testing Kit,Agency_5,1,Safe,148.0
Tawang Rural,Arunachal Pradesh,2023-07-02,WS_28184,Piped Supply,23.066421,96.908945,6.69,1.822,11.731,89.0,8.6,36.3,0.52,0.042,0.01,0.26,0.028,IoT Sensor,Agency_5,1,Safe,
Baghmara Rural,Meghalaya,2023-09-07,WS_91188,Pond,25.922838,91.650738,5.3,46.61,2325.859,2813.0,3.9,54.4,12.57,1.44,1.85,0.8,0.014,IoT Sensor,Agency_4,0,High,
Saitual Rural,Mizoram,2023-11-25,WS_74820,Well,26.906149,94.499173,7.75,2.622,2.614,93.0,8.4,20.8,2.47,0.04,1.64,0.86,0.037,Water Testing Kit,Agency_1,1,Safe,18.0
Kohima Rural,Nagaland,2024-02-21,WS_89688,Pond,23.775847,96.613226,5.3,63.132,698.786,3654.0,3.6,94.5,5.48,1.76,0.92,0.91,0.003,Water Testing Kit,Agency_1,0,High,
Belonia Rural,Tripura,2023-11-04,WS_27625,Piped Supply,23.529649,89.531161,7.36,7.24,1.272,87.0,5.0,20.3,2.64,0.021,0.76,0.56,0.003,Water Testing Kit,Agency_8,0,Safe,
Pakyong Village,Sikkim,2024-02-09,WS_36200,Pond,27.07089,90.668853,5.3,90.862,707.757,2179.0,2.9,92.4,21.24,1.81,0.64,0.92,0.031,IoT Sensor,Agency_4,0,High,
Tura Village,Meghalaya,2023-02-22,WS_19267,Pond,23.859882,96.98917,7.82,0.894,3.942,74.0,8.4,31.3,0.83,0.011,1.32,0.41,0.004,Water Testing Kit,Agency_1,1,Safe,
Churachandpur Village,Manipur,2023-06-04,WS_30226,Tube Well,27.451103,95.157248,8.07,6.019,34.007,99.0,8.6,32.0,2.03,0.004,0.95,0.61,0.017,Water Testing Kit,Agency_4,0,Safe,56.0
Bishnupur Rural,Manipur,2023-10-04,WS_62381,Piped Supply,25.074572,91.194642,7.22,5.24,17.112,11.0,6.6,2.3,2.72,0.023,1.96,0.03,0.032,IoT Sensor,Agency_2,1,Safe,
Jiribam Village,Manipur,2023-10-07,WS_83316,Well,28.871003,94.236744,7.65,0.767,4.395,1.0,6.2,33.1,2.0,0.05,0.75,0.37,0.011,Water Testing Kit,Agency_3,1,Safe,54.0
Shillong Rural,Meghalaya,2023-06-14,WS_23019,River,27.289126,91.861013,6.48,92.759,732.164,1739.0,3.2,113.6,17.19,0.4,1.36,0.09,0.022,Lab Analysis,Agency_2,0,High,
Silchar Village,Assam,2023-09-02,WS_42194,Piped Supply,23.536364,90.085511,7.38,0.132,72.613,44.0,8.9,30.5,0.37,0.016,0.09,0.27,0.02,Water Testing Kit,Agency_7,1,Safe,
Kailashahar Village,Tripura,2023-08-01,WS_77136,River,25.256634,92.762106,5.45,68.908,623.887,4300.0,2.2,157.3,23.88,0.89,0.46,0.04,0.013,Water Testing Kit,Agency_5,0,High,
Khliehriat Village,Meghalaya,2023-08-02,WS_55065,Well,24.839736,89.364016,7.6,6.159,13.5,0.0,6.3,8.6,1.31,0.005,0.99,1.48,0.002,Lab Analysis,Agency_4,0,Safe,147.0
Karimganj Village,Assam,2023-01-24,WS_55263,Spring,25.918965,89.824967,7.06,3.754,35.364,74.0,8.5,20.8,0.87,0.016,1.75,1.17,0.007,Water Testing Kit,Agency_9,1,Safe,
Barpeta Village,Assam,2023-10-30,WS_53986,Well,25.756693,90.284699,8.08,8.14,40.633,24.0,6.0,43.5,0.84,0.021,0.79,1.38,0.043,Water Testing Kit,Agency_4,0,Safe,167.0
Guwahati Rural,Assam,2023-05-05,WS_56887,River,24.140557,96.049965,7.2,6.62,50.321,84.0,6.0,25.7,0.08,0.04,0.43,1.08,0.041,IoT Sensor,Agency_1,0,Safe,
Bomdila Rural,Arunachal Pradesh,2023-12-13,WS_61814,Well,28.905674,92.799232,7.15,5.87,43.574,96.0,8.6,26.9,0.42,0.042,0.15,0.34,0.008,Lab Analysis,Agency_5,0,Safe,159.0
Gyalshing Rural,Sikkim,2023-12-17,WS_33542,Tube Well,25.310546,93.337609,5.3,35.053,902.652,263.0,3.3,70.8,9.05,1.35,0.48,0.55,0.002,Water Testing Kit,Agency_7,0,High,179.0
Mokokchung Rural,Nagaland,2023-06-26,WS_37126,Pond,28.858308,95.786611,7.15,8.648,0.0,23.0,7.7,38.4,2.98,0.009,1.77,1.4,0.032,IoT Sensor,Agency_3,0,Safe,
Zunheboto Village,Nagaland,2023-10-14,WS_57355,Spring,28.136289,96.965551,5.3,107.634,2468.677,4215.0,2.9,94.4,10.53,0.53,1.39,0.23,0.034,IoT Sensor,Agency_7,0,High,
Singtam Village,Sikkim,2023-03-18,WS_69290,Pond,24.191716,88.474192,8.27,3.724,48.024,60.0,7.7,14.5,0.63,0.013,0.74,0.53,0.02,IoT Sensor,Agency_9,1,Safe,
Jiribam Village,Manipur,2023-05-17,WS_78597,Tube Well,25.070661,94.774976,8.58,3.112,36.456,5.0,7.7,35.8,2.91,0.042,1.37,0.95,0.05,IoT Sensor,Agency_2,1,Safe,110.0
Udaipur Village,Tripura,2023-09-02,WS_98323,Pond,24.932774,91.371636,5.83,95.956,2657.458,442.0,2.1,55.2,9.21,0.86,0.76,0.19,0.047,IoT Sensor,Agency_3,0,High,
Kailashahar Village,Tripura,2023-10-13,WS_57892,Well,25.12032,95.229477,7.39,9.847,45.036,93.0,5.2,43.2,1.22,0.007,1.23,0.36,0.031,Water Testing Kit,Agency_4,0,Safe,158.0
Mangan Village,Sikkim,2023-09-22,WS_20263,Spring,24.740542,96.526688,5.3,74.934,1367.814,1853.0,2.3,179.6,8.96,0.7,1.04,1.3,0.013,IoT Sensor,Agency_1,0,High,
Jiribam Village,Manipur,2023-10-22,WS_21276,Piped Supply,28.005292,89.853436,8.41,2.552,48.801,63.0,5.5,25.5,2.69,0.014,1.22,0.79,0.027,Water Testing Kit,Agency_7,1,Safe,
Teliamura Rural,Tripura,2023-09-13,WS_73128,Well,24.033767,96.227508,7.61,7.15,66.707,50.0,8.1,38.3,0.1,0.032,1.44,1.07,0.017,Lab Analysis,Agency_5,0,Safe,176.0
Shillong Rural,Meghalaya,2023-12-23,WS_90189,Well,26.181075,89.419305,5.3,24.988,1838.01,1164.0,3.1,176.0,19.83,1.55,0.1,0.61,0.045,Water Testing Kit,Agency_9,0,High,17.0
Williamnagar Village,Meghalaya,2023-09-17,WS_62435,Well,23.220873,88.081511,7.75,8.211,19.883,47.0,8.8,17.6,2.13,0.014,0.18,1.23,0.024,Water Testing Kit,Agency_9,0,Safe,11.0
Kolasib Rural,Mizoram,2023-09-24,WS_32206,Well,24.499684,92.749995,8.71,7.169,44.154,35.0,7.3,31.3,1.52,0.012,0.69,0.1,0.024,Water Testing Kit,Agency_8,0,Safe,178.0
Guwahati Rural,Assam,2023-09-08,WS_48297,Well,24.624393,96.627739,5.3,95.916,1343.723,2950.0,1.9,158.9,5.94,1.98,0.04,0.57,0.005,Water Testing Kit,Agency_8,0,High,25.0
Tezpur Village,Arunachal Pradesh,2023-11-13,WS_12293,Pond,24.838339,94.414261,6.18,73.244,401.113,2333.0,2.0,153.5,8.73,1.88,0.17,0.45,0.031,Water Testing Kit,Agency_4,0,High,
Kiphire Village,Nagaland,2023-04-27,WS_11653,River,26.301439,90.01707,7.72,0.24,23.921,44.0,6.4,24.6,1.54,0.009,0.07,1.36,0.026,Water Testing Kit,Agency_7,1,Safe,
Teliamura Rural,Tripura,2023-07-03,WS_97322,Well,23.211871,88.088995,6.45,9.392,3.162,14.0,6.1,4.5,2.73,0.007,1.17,0.78,0.035,IoT Sensor,Agency_7,0,Safe,199.0
Thoubal Village,Manipur,2023-08-30,WS_51442,Spring,28.611751,95.314276,6.04,77.86,895.395,4719.0,2.6,165.8,7.45,0.53,1.91,1.32,0.036,Water Testing Kit,Agency_8,0,High,
Khliehriat Village,Meghalaya,2023-08-27,WS_65688,Well,28.501482,93.678974,8.16,3.785,63.653,87.0,8.0,16.7,0.99,0.032,1.95,0.89,0.04,IoT Sensor,Agency_9,1,Safe,107.0
Barpeta Village,Assam,2023-03-15,WS_70585,Pond,27.772674,90.997029,6.0,80.768,1147.743,4745.0,3.2,189.8,16.95,0.36,0.45,0.87,0.05,Water Testing Kit,Agency_4,0,High,
Baghmara Rural,Meghalaya,2023-07-31,WS_83805,Piped Supply,26.158556,94.79777,8.52,8.038,46.572,75.0,8.2,37.7,1.06,0.039,1.57,0.36,0.015,Lab Analysis,Agency_7,0,Safe,
Namchi Village,Sikkim,2023-04-14,WS_50983,Well,27.459487,88.972428,7.45,8.466,18.868,33.0,5.7,44.2,0.35,0.049,0.83,0.64,0.05,Water Testing Kit,Agency_3,0,Safe,97.0
Karimganj Village,Assam,2023-09-06,WS_81623,Tube Well,27.84721,90.68866,8.0,8.652,39.315,28.0,8.5,12.3,0.78,0.004,1.57,0.69,0.036,IoT Sensor,Agency_9,0,Safe,110.0
Jowai Rural,Meghalaya,2023-09-15,WS_14674,Pond,25.839753,90.306955,5.3,112.512,1163.5,1661.0,3.6,98.6,24.94,1.41,0.43,0.82,0.011,Water Testing Kit,Agency_2,0,High,
Bishnupur Rural,Manipur,2023-10-17,WS_81077,River,27.031158,91.761245,5.84,42.274,733.978,1866.0,1.1,150.3,13.96,1.8,1.87,1.37,0.024,Water Testing Kit,Agency_8,0,High,
Phek Rural,Nagaland,2023-05-02,WS_65993,Piped Supply,24.742949,91.265947,7.81,8.179,35.223,30.0,5.4,13.0,1.09,0.032,0.53,1.1,0.049,IoT Sensor,Agency_3,0,Safe,
Jorhat Village,Assam,2023-04-10,WS_90327,River,28.267144,92.525579,7.78,4.192,1.182,56.0,7.7,4.4,2.87,0.005,0.02,0.1,0.014,Water Testing Kit,Agency_7,1,Safe,
Jowai Rural,Meghalaya,2023-07-15,WS_92588,River,28.518596,96.618257,7.16,8.983,56.672,99.0,8.9,40.3,2.79,0.006,0.69,0.3,0.019,IoT Sensor,Agency_7,0,Safe,
Baghmara Rural,Meghalaya,2023-01-18,WS_70397,River,24.693016,96.804128,6.89,1.993,55.715,93.0,8.4,1.9,1.96,0.023,0.69,0.92,0.025,Lab Analysis,Agency_7,1,Safe,
Imphal Rural,Manipur,2023-05-22,WS_18876,Spring,26.324681,91.115589,7.06,3.807,27.747,28.0,5.6,19.4,2.69,0.013,1.59,0.8,0.045,IoT Sensor,Agency_6,1,Safe,
Ziro Village,Arunachal Pradesh,2023-10-11,WS_79863,Well,27.633445,90.470555,7.16,6.376,11.394,59.0,5.8,1.8,2.62,0.041,1.83,0.58,0.049,Water Testing Kit,Agency_2,0,Safe,180.0
Khliehriat Village,Meghalaya,2023-09-14,WS_35980,Tube Well,28.88534,90.518353,7.06,6.633,36.047,53.0,6.3,0.1,1.07,0.015,1.04,0.82,0.028,IoT Sensor,Agency_9,0,Safe,165.0
Silchar Village,Assam,2023-07-25,WS_42194,Piped Supply,23.536364,90.085511,7.57,0.114,59.827,44.0,8.9,30.5,0.37,0.016,0.09,0.27,0.02,Water Testing Kit,Agency_7,1,Safe,
Williamnagar Village,Meghalaya,2024-01-15,WS_28058,Piped Supply,25.800599,91.436956,8.12,4.18,46.157,30.0,5.5,5.1,1.52,0.019,0.97,0.92,0.011,IoT Sensor,Agency_2,1,Safe,
Ukhrul Village,Manipur,2023-06-03,WS_79687,Tube Well,25.713113,90.552658,6.79,4.84,53.389,93.0,5.3,35.4,2.9,0.023,0.59,1.32,0.033,Lab Analysis,Agency_6,1,Safe,88.0
Tawang Rural,Arunachal Pradesh,2023-09-23,WS_99639,Piped Supply,23.8899,88.664506,5.3,86.592,1802.086,1992.0,4.0,153.7,22.89,0.19,0.84,1.21,0.022,Water Testing Kit,Agency_2,0,High,
Shillong Rural,Meghalaya,2023-05-17,WS_48871,Well,24.775276,89.984118,8.13,8.322,55.913,42.0,8.7,9.4,2.81,0.028,0.34,0.04,0.038,IoT Sensor,Agency_1,0,Safe,182.0
Williamnagar Village,Meghalaya,2023-11-27,WS_67437,Tube Well,27.083237,94.598993,7.55,9.425,54.512,94.0,8.7,9.0,0.78,0.013,0.12,1.14,0.037,IoT Sensor,Agency_3,0,Safe,83.0
